Column,article,Non_self_referencial_link,volume,pre_link_text,link_text,clean_link_text_not_article,DOI_for_article,linkDOI,citationCount,Date,dateYear
0,S0022285203002546.xml,False,223,aredSpinÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“rotationJournal of Molecular Spectroscopy 223 (2004) 1-8. doi:10.1016j.jms.2003.08.010journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-2852223120041-81810.1016j.jms.2003.08.010http,http://dx.doi.org/10.1016/j.jms.2003.08.010doi:10.1016/j.jms.2003.08.010JournalsS300.1,,10.1016/j.jms.2003.08.010,https://dx.doi.org/10.1016/j.jms.2003.08.010,2,2004-01-00,2004
1,S002228520300256X.xml,False,223,HayashiJournal of Molecular Spectroscopy 223 (2004) 152-165. doi:10.1016j.jms.2003.08.008journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222322004152-16515216510.1016j.jms.2003.08.008http,http://dx.doi.org/10.1016/j.jms.2003.08.008doi:10.1016/j.jms.2003.08.008JournalsS300.1,,10.1016/j.jms.2003.08.008,https://dx.doi.org/10.1016/j.jms.2003.08.008,9,2004-02-00,2004
2,S0022285203002571.xml,False,223,nsenA.C. SamuelsJournal of Molecular Spectroscopy 223 (2004) 9-19. doi:10.1016j.jms.2003.08.009journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-2852223120049-1991910.1016j.jms.2003.08.009http,http://dx.doi.org/10.1016/j.jms.2003.08.009doi:10.1016/j.jms.2003.08.009JournalsS300.1,,10.1016/j.jms.2003.08.009,https://dx.doi.org/10.1016/j.jms.2003.08.009,6,2004-01-00,2004
3,S0022285203002728.xml,False,223, momentJournal of Molecular Spectroscopy 223 (2004) 148-151. doi:10.1016j.jms.2003.09.004journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222322004148-15114815110.1016j.jms.2003.09.004http,http://dx.doi.org/10.1016/j.jms.2003.09.004doi:10.1016/j.jms.2003.09.004JournalsS300.1,,10.1016/j.jms.2003.09.004,https://dx.doi.org/10.1016/j.jms.2003.09.004,2,2004-02-00,2004
4,S002228520300273X.xml,False,223,nJohn M BrownJournal of Molecular Spectroscopy 223 (2004) 20-30. doi:10.1016j.jms.2003.09.002journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522231200420-30203010.1016j.jms.2003.09.002http,http://dx.doi.org/10.1016/j.jms.2003.09.002doi:10.1016/j.jms.2003.09.002JournalsS300.1,,10.1016/j.jms.2003.09.002,https://dx.doi.org/10.1016/j.jms.2003.09.002,6,2004-01-00,2004
5,S002228520300287X.xml,False,223,equency shiftJournal of Molecular Spectroscopy 223 (2004) 31-38. doi:10.1016j.jms.2003.09.008journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522231200431-38313810.1016j.jms.2003.09.008http,http://dx.doi.org/10.1016/j.jms.2003.09.008doi:10.1016/j.jms.2003.09.008JournalsS300.1,,10.1016/j.jms.2003.09.008,https://dx.doi.org/10.1016/j.jms.2003.09.008,21,2004-01-00,2004
6,S0022285203002881.xml,False,223, of Molecular Spectroscopy 223 (2004) 39-50. doi:10.1016j.jms.2003.09.007journalJournal of Molecular SpectroscopyCrown Copyright Ãƒâ€šÃ‚Â© 2003. Published by Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522231200439-50395010.1016j.jms.2003.09.007http,http://dx.doi.org/10.1016/j.jms.2003.09.007doi:10.1016/j.jms.2003.09.007JournalsS300.1,,10.1016/j.jms.2003.09.007,https://dx.doi.org/10.1016/j.jms.2003.09.007,27,2004-01-00,2004
7,S0022285203002893.xml,False,223,ionalg-factorJournal of Molecular Spectroscopy 223 (2004) 51-66. doi:10.1016j.jms.2003.09.006journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522231200451-66516610.1016j.jms.2003.09.006http,http://dx.doi.org/10.1016/j.jms.2003.09.006doi:10.1016/j.jms.2003.09.006JournalsS300.1,,10.1016/j.jms.2003.09.006,https://dx.doi.org/10.1016/j.jms.2003.09.006,10,2004-01-00,2004
8,S002228520300290X.xml,False,223,re broadeningJournal of Molecular Spectroscopy 223 (2004) 67-72. doi:10.1016j.jms.2003.09.011journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522231200467-72677210.1016j.jms.2003.09.011http,http://dx.doi.org/10.1016/j.jms.2003.09.011doi:10.1016/j.jms.2003.09.011JournalsS300.1,,10.1016/j.jms.2003.09.011,https://dx.doi.org/10.1016/j.jms.2003.09.011,12,2004-01-00,2004
9,S0022285203002911.xml,False,223,AminopyridineJournal of Molecular Spectroscopy 223 (2004) 73-79. doi:10.1016j.jms.2003.09.005journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522231200473-79737910.1016j.jms.2003.09.005http,http://dx.doi.org/10.1016/j.jms.2003.09.005doi:10.1016/j.jms.2003.09.005JournalsS300.1,,10.1016/j.jms.2003.09.005,https://dx.doi.org/10.1016/j.jms.2003.09.005,0,2004-01-00,2004
10,S0022285203002923.xml,False,223,ael EscribanoJournal of Molecular Spectroscopy 223 (2004) 80-83. doi:10.1016j.jms.2003.09.009journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522231200480-83808310.1016j.jms.2003.09.009http,http://dx.doi.org/10.1016/j.jms.2003.09.009doi:10.1016/j.jms.2003.09.009JournalsS300.1,,10.1016/j.jms.2003.09.009,https://dx.doi.org/10.1016/j.jms.2003.09.009,4,2004-01-00,2004
